"Time","Rainfall","Rainfall (previous month)","Temperature","Temperature (previous month)"
-1188777600000,50.9,44.6,10.5,6.9
-1186099200000,57,50.9,14.1,10.5
-1183507200000,62.1,57,16.1,14.1
-1180828800000,63.5,62.1,17.1,16.1
-1178150400000,56.2,63.5,12.9,17.1
-1175558400000,47.3,56.2,8.800000000000001,12.9
-1172880000000,43.6,47.3,6.6,8.800000000000001
-1170288000000,41.8,43.6,5.7,6.6
-1167609600000,36.2,41.8,2.2,5.7
-1164931200000,39.3,36.2,4.3,2.2
-1162512000000,44.5,39.3,7.3,4.3
-1159833600000,48.7,44.5,8.800000000000001,7.3
-1157241600000,54.2,48.7,12.2,8.800000000000001
-1154563200000,60.8,54.2,15.6,12.2
-1151971200000,65.5,60.8,17.8,15.6
-1149292800000,64.90000000000001,65.5,17.6,17.8
-1146614400000,60.1,64.90000000000001,14.9,17.6
-1144022400000,50.2,60.1,10.1,14.9
-1141344000000,42.1,50.2,5.6,10.1
-1138752000000,35.6,42.1,1.6,5.6
-1136073600000,39.4,35.6,4.1,1.6
-1133395200000,38.2,39.4,3.8,4.1
-1130976000000,40.4,38.2,4.8,3.8
-1128297600000,46.9,40.4,8,4.8
-1125705600000,53.4,46.9,11.3,8
-1123027200000,59.6,53.4,14.9,11.3
-1120435200000,66.5,59.6,18.2,14.9
-1117756800000,60.4,66.5,15.4,18.2
-1115078400000,59.2,60.4,14.6,15.4
-1112486400000,51.2,59.2,10.6,14.6
-1109808000000,42.8,51.2,6.1,10.6
-1107216000000,45.8,42.8,8.1,6.1
-1104537600000,40.4,45.8,4.5,8.1
-1101859200000,42.6,40.4,5.8,4.5
-1099440000000,43.5,42.6,6.6,5.8
-1096761600000,47.1,43.5,8.199999999999999,6.6
-1094169600000,50,47.1,9.9,8.199999999999999
-1091491200000,60.5,50,15.1,9.9
-1088899200000,64.59999999999999,60.5,17.1,15.1
-1086220800000,64,64.59999999999999,16.6,17.1
-1083542400000,56.8,64,13.6,16.6
-1080950400000,48.6,56.8,9.5,13.6
-1078272000000,44.2,48.6,6.9,9.5
-1075680000000,36.4,44.2,2.8,6.9
-1073001600000,37.3,36.4,3.7,2.8
-1070323200000,35,37.3,2.6,3.7
-1067817600000,44,35,7.1,2.6
-1065139200000,43.9,44,6.3,7.1
-1062547200000,52.7,43.9,11.5,6.3
-1059868800000,58.6,52.7,14.7,11.5
-1057276800000,60,58.6,15.3,14.7
-1054598400000,61.1,60,16.1,15.3
-1051920000000,58.1,61.1,14.4,16.1
-1049328000000,49.6,58.1,9.4,14.4
-1046649600000,41.6,49.6,5.5,9.4
-1044057600000,41.3,41.6,5.3,5.5
-1041379200000,40.8,41.3,5.2,5.3
-1038700800000,41,40.8,5.6,5.2
-1036281600000,38.4,41,3.6,5.6
-1033603200000,47.4,38.4,9.199999999999999,3.6
-1031011200000,54.1,47.4,12.2,9.199999999999999
-1028332800000,58.6,54.1,14.1,12.2
-1025740800000,61.4,58.6,16.1,14.1
-1023062400000,61.8,61.4,16.9,16.1
-1020384000000,56.3,61.8,13.4,16.9
-1017792000000,50.9,56.3,10.4,13.4
-1015113600000,41.4,50.9,5.1,10.4
-1012521600000,37.1,41.4,3,5.1
-1009843200000,42.1,37.1,5.7,3
-1007164800000,41.2,42.1,5.1,5.7
-1004745600000,47.3,41.2,9.1,5.1
-1002067200000,46.6,47.3,7.6,9.1
-999475200000,52.4,46.6,10.7,7.6
-996796800000,59,52.4,14.4,10.7
-994204800000,59.6,59,15.2,14.4
-991526400000,60.4,59.6,16.3,15.2
-988848000000,57,60.4,13.8,16.3
-986256000000,50.7,57,10.5,13.8
-983577600000,47.8,50.7,9.4,10.5
-980985600000,39.2,47.8,4.4,9.4
-978307200000,39.4,39.2,4.2,4.4
-975628800000,40.9,39.4,5.6,4.2
-973209600000,42.4,40.9,5.8,5.6
-970531200000,47.8,42.4,8.800000000000001,5.8
-967939200000,52.4,47.8,11.4,8.800000000000001
-965260800000,58,52.4,14.2,11.4
-962668800000,60.7,58,15.5,14.2
-959990400000,61.8,60.7,16.4,15.5
-957312000000,58.2,61.8,14.2,16.4
-954720000000,46.7,58.2,8.199999999999999,14.2
-952041600000,46.6,46.7,8.699999999999999,8.199999999999999
